s/ ativ;c/ ativ;;media;DesvPad;RMS;max
0;112;;;;;
0;0;;;;;
0;258;;;;;
0;22;;;;;
185;0;;;;;
0;95;;;;;
0;0;;;;;
0;214;;;;;
0;0;;;;;
125;0;;;;;
0;111;;;;;
0;0;;;;;
60;182;;;;;
0;44;;;;;
175;0;;;;;
0;82;;;;;
0;0;;;;;
0;267;;;;;
0;0;;;;;
112;0;;;;;
0;164;;;;;
0;0;;;;;
23;317;;;;;
0;0;;;;;
69;0;;;;;
0;80;;;;;
288;0;;;;;
0;285;;;;;
0;5;;;;;
100;0;;;;;
0;64;;;;;
263;0;;;;;
0;236;;;;;
0;0;;;;;
36;0;;;;;
0;80;;;;;
353;0;;;;;
0;150;;;;;
0;0;;;;;
69;0;;;;;
0;0;;;;;
294;0;;;;;
0;112;;;;;
0;0;;;;;
48;15;;;;;
0;0;;;;;
262;14;;;;;
15;0;;;;;
18;226;;;;;
0;0;;;;;
18;0;;;;;
0;112;;;;;
205;0;;;;;
0;208;;;;;
0;16;;;;;
80;0;;;;;
0;7;;;;;
208;0;;;;;
0;240;;;;;
0;0;;;;;
0;0;;;;;
0;110;;;;;
258;0;;;;;
0;214;;;;;
0;0;;;;;
64;0;;;;;
0;23;;;;;
246;0;;;;;
0;337;;;;;
0;0;;;;;
45;0;;;;;
0;48;;;;;
272;0;;;;;
14;196;;;;;
0;0;;;;;
33;0;;;;;
0;107;;;;;
220;0;;;;;
0;303;;;;;
0;36;;;;;
112;0;;;;;
0;38;;;;;
224;0;;;;;
0;431;;;;;
0;0;;;;;
16;0;;;;;
0;75;;;;;
246;0;;;;;
0;166;;;;;
0;0;;;;;
48;0;;;;;
0;0;;;;;
196;0;;;;;
0;0;;;;;
0;299;;;;;
90;0;;;;;
0;0;;;;;
0;50;;;;;
0;0;;;;;
48;236;;;;;
0;0;;;;;
148;0;;;;;
0;120;;;;;
0;0;;;;;
48;250;;;;;
0;14;;;;;
147;0;;;;;
0;2;;;;;
334;0;;;;;
0;196;;;;;
0;0;;;;;
80;0;;;;;
0;111;;;;;
259;0;;;;;
0;218;;;;;
0;0;;;;;
72;0;;;;;
0;1;;;;;
256;0;;;;;
0;321;;;;;
0;0;;;;;
76;0;;;;;
0;87;;;;;
286;0;;;;;
3;163;;;;;
0;0;;;;;
48;0;;;;;
0;10;;;;;
288;0;;;;;
0;214;;;;;
0;0;;;;;
123;0;;;;;
0;11;;;;;
251;0;;;;;
0;129;;;;;
0;0;;;;;
41;0;;;;;
0;60;;;;;
375;0;;;;;
0;146;;;;;
0;6;;;;;
71;0;;;;;
0;0;;;;;
278;27;;;;;
0;0;;;;;
0;116;;;;;
53;0;;;;;
210;115;;;;;
0;0;;;;;
0;0;;;;;
16;66;;;;;
0;0;;;;;
150;289;;;;;
0;32;;;;;
0;0;;;;;
0;53;;;;;
0;0;;;;;
85;298;;;;;
0;0;;;;;
0;0;;;;;
35;115;;;;;
0;0;;;;;
180;239;;;;;
0;0;;;;;
0;0;;;;;
0;29;;;;;
0;0;;;;;
174;314;;;;;
0;0;;;;;
0;0;;;;;
0;43;;;;;
0;0;;;;;
121;182;;;;;
0;0;;;;;
379;0;;;;;
41;33;;;;;
0;0;;;;;
71;246;;;;;
0;0;;;;;
256;0;;;;;
0;13;;;;;
0;0;;;;;
145;190;;;;;
0;0;;;;;
233;0;;;;;
0;80;;;;;
0;0;;;;;
32;157;;;;;
0;0;;;;;
401;0;;;;;
0;0;;;;;
0;0;;;;;
73;0;;;;;
0;80;;;;;
193;0;;;;;
0;150;;;;;
0;0;;;;;
11;0;;;;;
0;0;;;;;
0;0;;;;;
85;211;;;;;
0;0;;;;;
203;0;;;;;
0;16;;;;;
0;0;;;;;
0;125;;;;;
0;0;;;;;
243;0;;;;;
0;0;;;;;
0;0;;;;;
36;191;;;;;
0;0;;;;;
133;0;;;;;
0;0;;;;;
0;0;;;;;
0;128;;;;;
0;0;;;;;
197;0;;;;;
16;62;;;;;
0;0;;;;;
0;115;;;;;
0;0;;;;;
132;0;;;;;
0;0;;;;;
0;0;;;;;
17;245;;;;;
0;0;;;;;
152;0;;;;;
0;75;;;;;
306;0;;;;;
0;144;;;;;
0;0;;;;;
140;0;;;;;
0;0;;;;;
0;0;;;;;
85;180;;;;;
0;0;;;;;
115;0;;;;;
0;0;;;;;
0;0;;;;;
0;107;;;;;
0;0;;;;;
210;0;;;;;
0;70;;;;;
0;0;;;;;
46;0;;;;;
0;173;;;;;
181;0;;;;;
0;0;;;;;
0;0;;;;;
0;0;;;;;
0;210;;;;;
0;0;;;;;
159;0;;;;;
0;91;;;;;
205;0;;;;;
0;109;;;;;
0;0;;;;;
113;0;;;;;
0;0;;;;;
0;0;;;;;
48;243;;;;;
0;0;;;;;
80;0;;;;;
0;30;;;;;
301;0;;;;;
0;42;;;;;
0;0;;;;;
145;208;;;;;
0;0;;;;;
326;0;;;;;
3;106;;;;;
0;0;;;;;
55;240;;;;;
0;0;;;;;
387;0;;;;;
3;16;;;;;
0;0;;;;;
102;305;;;;;
1;0;;;;;
326;0;;;;;
0;79;;;;;
0;0;;;;;
158;288;;;;;
0;0;;;;;
288;0;;;;;
31;120;;;;;
0;0;;;;;
33;257;;;;;
0;0;;;;;
194;0;;;;;
0;31;;;;;
0;0;;;;;
35;231;;;;;
0;0;;;;;
159;0;;;;;
0;0;;;;;
0;0;;;;;
0;0;;;;;
0;128;;;;;
0;0;;;;;
309;99;;;;;
0;60;;;;;
0;0;;;;;
67;113;;;;;
0;0;;;;;
233;302;;;;;
0;0;;;;;
0;0;;;;;
34;181;;;;;
0;0;;;;;
254;338;;;;;
0;16;;;;;
0;0;;;;;
29;79;;;;;
0;0;;;;;
133;311;;;;;
0;0;;;;;
0;0;;;;;
68;77;;;;;
0;0;;;;;
160;176;;;;;
0;0;;;;;
0;0;;;;;
0;1;;;;;
0;0;;;;;
109;206;;;;;
0;0;;;;;
75;0;;;;;
47;16;;;;;
0;0;;;;;
106;142;;;;;
0;0;;;;;
267;0;;;;;
0;14;;;;;
0;0;;;;;
141;222;;;;;
0;0;;;;;
337;0;;;;;
0;0;;;;;
0;0;;;;;
82;158;;;;;
0;0;;;;;
387;0;;;;;
15;37;;;;;
0;0;;;;;
114;0;;;;;
0;97;;;;;
53;0;;;;;
0;0;;;;;
101;0;;;;;
0;0;;;;;
278;149;;;;;
0;0;;;;;
0;299;;;;;
99;0;;;;;
0;0;;;;;
222;74;;;;;
0;0;;;;;
0;357;;;;;
2;42;;;;;
0;0;;;;;
266;75;;;;;
0;0;;;;;
0;303;;;;;
11;0;;;;;
0;0;;;;;
134;154;;;;;
0;0;;;;;
286;302;;;;;
0;0;;;;;
0;0;;;;;
107;50;;;;;
0;0;;;;;
323;286;;;;;
0;0;;;;;
0;0;;;;;
77;144;;;;;
0;0;;;;;
287;306;;;;;
16;0;;;;;
0;0;;;;;
43;52;;;;;
0;0;;;;;
239;375;;;;;
0;14;;;;;
0;0;;;;;
99;102;;;;;
0;0;;;;;
256;151;;;;;
16;0;;;;;
0;0;;;;;
32;82;;;;;
